Name,num
Kurt Seifried,2089
Solar Designer,990
Eugene Teo,528
Hanno B̦ck,489
Xen.org security team,486
Jan Lieskovsky,459
P J P,429
Henri Salo,410
Florian Weimer,403
Marcus Meissner,380
Tomas Hoger,352
Vincent Danen,330
Salvatore Bonaccorso,329
Nico Golde,241
Petr Matousek,214
Greg KH,204
Raphael Geissert,177
Moritz Muehlenhoff,175
Huzaifa Sidhpurwala,143
Sebastian Krahmer,137
Yves-Alexis Perez,135
Agostino Sarubbo,131
Larry W. Cashdolla,126
Ludwig Nussel,120
Simon McVittie,112
Jason A. Donenfeld,107
Murray McAllister,104
Marc Deslauriers,90
Daniel Micay,86
John Haxby,86
Thomas Biege,85
Robert Buchholz,81
Josh Bressers,931
Steven M. Christey,728
Tavis Ormandy,133
Daniel Kahn Gillmor,93
Seth Arnold,111
